Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
12207372,2274,2635,-2357,-6,11,-2
12210408,2271,2642,-2311,-7,18,-6
12213469,2271,2652,-2340,-3,9,-8
12216394,2257,2652,-2343,-7,14,-11
12219517,2270,2647,-2330,-2,9,-14
12222553,2284,2656,-2338,-7,14,-19
12225676,2290,2652,-2353,2,9,-19
12228626,2234,2614,-2324,-2,14,-23
12231749,2260,2629,-2337,4,5,-24
12234698,2266,2650,-2350,-3,11,-32
12237846,2269,2619,-2323,1,5,-26
12240771,2256,2651,-2353,-6,7,-34
12243807,2271,2631,-2343,2,7,-30
12246757,2252,2641,-2321,-6,8,-31
12249793,2244,2657,-2305,0,10,-37
12252829,2243,2638,-2333,-7,5,-31
12255865,2248,2640,-2324,-2,3,-36
12258902,2226,2657,-2341,-6,13,-35
12262073,2269,2651,-2388,-1,5,-36
12265061,2233,2652,-2366,-9,11,-38
12268184,2238,2641,-2361,-2,10,-31
12271307,2227,2637,-2349,-10,12,-37
12274517,2245,2658,-2340,-6,10,-31
12277640,2247,2660,-2323,-11,12,-34
12280849,2241,2641,-2333,-12,6,-28
12283972,2236,2654,-2323,-13,21,-28
12287205,2220,2634,-2332,-12,7,-23
12290305,2255,2674,-2328,-12,20,-21
12293515,2229,2673,-2349,-14,8,-20
12296673,2223,2652,-2359,-12,20,-14
12299848,2250,2684,-2367,-17,8,-19
12302971,2232,2679,-2318,-12,22,-11
12306180,2223,2651,-2310,-17,12,-10
12309390,2246,2667,-2333,-17,27,-9
12312538,2246,2673,-2298,-21,20,-7
12315636,2264,2674,-2313,-15,18,1
12318672,2228,2653,-2304,-19,22,-1
12321795,2229,2671,-2324,-16,15,7
12324832,2233,2660,-2340,-21,21,6
12327868,2259,2662,-2280,-15,21,9
12330904,2255,2645,-2323,-20,17,8
12333940,2254,2661,-2292,-14,20,17
12337088,2251,2660,-2291,-19,20,13
12340186,2233,2669,-2318,-13,23,16
12343309,2277,2652,-2328,-17,25,13
12346432,2234,2688,-2296,-14,16,14
12349555,2244,2664,-2332,-19,26,16
12352678,2261,2662,-2300,-10,14,13
12355801,2238,2651,-2326,-16,25,12
12358924,2242,2674,-2338,-13,15,9
12362009,2261,2644,-2296,-16,26,6
12364997,2260,2667,-2315,-11,13,4
12368033,2278,2661,-2306,-14,22,0
12371069,2263,2627,-2318,-10,7,1
12374019,2252,2651,-2363,-12,18,-3
12377142,2287,2654,-2294,-6,10,-7
12380178,2242,2656,-2343,-8,26,-6
12383214,2244,2665,-2312,-6,8,-10
12386277,2252,2658,-2340,-5,23,-8
12389287,2246,2635,-2333,-2,8,-9
12392236,2297,2633,-2370,-3,19,-14
12395359,2257,2670,-2345,-1,7,-14
12398431,2250,2663,-2313,-5,20,-16
12401519,2262,2645,-2342,-2,7,-15
12404555,2282,2651,-2338,-1,21,-18
12407678,2267,2624,-2349,-2,7,-17
12410714,2272,2650,-2306,-2,18,-20
12413862,2272,2643,-2305,-3,4,-23
12416874,2256,2663,-2366,-2,14,-22
12419997,2269,2650,-2334,-6,4,-25
12423033,2270,2650,-2318,-2,21,-26
12426156,2250,2644,-2340,-4,3,-27
12429192,2239,2665,-2371,-2,19,-26
12432315,2262,2668,-2369,-8,3,-33
12435351,2227,2651,-2323,-10,21,-26
12438586,2253,2669,-2332,-6,4,-30
12441597,2267,2676,-2308,-6,17,-24
12444720,2237,2641,-2331,-11,8,-27
12447843,2246,2646,-2368,-8,21,-26
12450966,2242,2659,-2338,-14,5,-22
12454089,2241,2630,-2341,-11,22,-21
12457299,2255,2650,-2358,-14,7,-21
12460422,2249,2664,-2323,-11,18,-19
12463680,2262,2653,-2348,-17,14,-18
12466841,2235,2645,-2337,-12,17,-12
12470051,2258,2660,-2327,-18,12,-15
12473261,2249,2664,-2346,-13,17,-10
12476471,2264,2663,-2351,-18,22,-10
12479680,2254,2649,-2351,-13,10,-6
12482803,2260,2666,-2335,-22,21,-7
12485930,2251,2660,-2320,-16,13,-5
12489073,2227,2657,-2340,-20,24,-5
12492172,2244,2667,-2346,-17,13,-3
12495295,2243,2650,-2301,-15,27,-3
12498457,2247,2672,-2313,-20,11,-1
12501541,2240,2667,-2291,-16,24,0
12504578,2220,2662,-2323,-17,14,0
12507614,2247,2662,-2317,-16,27,-4
12510737,2235,2672,-2290,-17,11,1
12513798,2235,2676,-2360,-16,22,-3
12516896,2252,2683,-2290,-14,11,-1
12520019,2225,2689,-2290,-16,27,-2
12523142,2263,2638,-2316,-14,10,0
12526178,2250,2644,-2327,-9,25,4
12529128,2241,2681,-2318,-12,10,2
12532164,2210,2658,-2305,-8,27,2
12535114,2246,2646,-2332,-7,8,-1
12538088,2245,2661,-2334,-7,27,1
12541013,2261,2654,-2340,-11,11,3
