Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
72288,-5388,15272,-808,-63,212,-76
72341,-5248,15252,-868,-105,77,-113
72393,-5264,15196,-904,-59,113,-72
72446,-5348,15216,-804,-106,142,-91
72498,-5316,15288,-832,-41,124,-64
72551,-5324,15280,-764,-107,92,-70
72603,-5352,15272,-840,-69,95,-49
72655,-5324,15200,-908,-81,181,-72
72708,-5312,15256,-832,-98,65,-83
72760,-5304,15316,-948,-75,192,-86
72813,-5384,15300,-644,-65,83,-78
72865,-5332,15312,-904,-82,181,-70
72918,-5272,15260,-696,-126,96,-95
72970,-5220,15324,-808,-84,183,-76
73023,-5320,15264,-832,-93,68,-78
73075,-5332,15264,-800,-43,184,-69
73128,-5260,15188,-944,-98,75,-95
73180,-5308,15188,-772,-52,172,-46
73233,-5320,15288,-904,-90,71,-65
73285,-5344,15160,-888,-52,153,-66
73337,-5296,15164,-772,-105,68,-95
73390,-5304,15284,-860,-51,173,-69
73442,-5300,15276,-888,-103,77,-57
73495,-5348,15236,-1112,-69,167,-91
73547,-5380,15244,-800,-117,75,-92
73600,-5240,15332,-804,-58,155,-82
73652,-5288,15320,-736,-84,81,-85
73705,-5348,15312,-696,-70,194,-81
73757,-5292,15268,-912,-71,69,-81
73810,-5288,15244,-756,-46,166,-62
73862,-5408,15228,-932,-108,95,-90
73915,-5304,15316,-956,-50,145,-69
73967,-5328,15288,-728,-84,80,-81
74020,-5396,15192,-808,-62,186,-68
74072,-5348,15240,-968,-99,75,-99
74124,-5432,15308,-920,-66,180,-105
74177,-5360,15300,-756,-103,96,-73
74229,-5368,15236,-860,-43,175,-91
74282,-5244,15176,-900,-77,54,-73
74334,-5384,15340,-696,-67,144,-58
74387,-5192,15240,-748,-93,136,-113
74439,-5408,15240,-820,-56,107,-83
74492,-5280,15296,-728,-114,156,-112
74544,-5308,15336,-844,-72,116,-81
74597,-5484,15232,-704,-93,222,-80
74649,-5252,15316,-868,-78,96,-89
74702,-5412,15196,-896,-93,212,-71
74754,-5340,15308,-772,-70,75,-88
74806,-5428,15300,-740,-104,219,-76
74859,-5264,15232,-992,-70,80,-109
74911,-5308,15256,-984,-91,200,-64
74964,-5192,15224,-828,-90,78,-55
75016,-5340,15248,-948,-82,203,-104
75069,-5268,15368,-796,-81,76,-66
75121,-5332,15240,-912,-61,162,-95
75174,-5320,15180,-868,-88,85,-92
75226,-5248,15264,-908,-56,212,-61
75279,-5364,15212,-772,-66,90,-67
75331,-5344,15260,-820,-80,163,-114
75384,-5320,15212,-944,-58,88,-85
75436,-5408,15268,-852,-111,207,-71
75489,-5356,15312,-816,-80,67,-76
75541,-5320,15268,-840,-59,169,-84
75593,-5240,15296,-680,-88,94,-96
75646,-5300,15320,-904,-44,192,-80
75698,-5360,15200,-860,-85,63,-89
75751,-5364,15196,-888,-55,214,-43
75803,-5264,15240,-852,-80,81,-84
75856,-5308,15256,-720,-64,204,-76
75908,-5256,15252,-792,-91,68,-94
75961,-5376,15236,-896,-49,170,-54
76014,-5252,15328,-828,-84,89,-102
76066,-5396,15240,-824,-63,190,-79
76119,-5312,15240,-724,-95,94,-39
76171,-5372,15212,-884,-46,160,-71
76223,-5432,15268,-784,-99,76,-91
76276,-5384,15252,-916,-56,194,-64
76328,-5284,15228,-832,-84,63,-109
76381,-5388,15208,-772,-76,178,-82
76433,-5256,15200,-920,-79,71,-82
76486,-5380,15236,-804,-106,225,-97
76539,-5472,15316,-744,-40,122,-59
76591,-5348,15256,-768,-114,110,-98
76644,-5312,15212,-796,-75,63,-70
76696,-5280,15232,-812,-80,191,-76
76749,-5284,15332,-888,-108,65,-77
76801,-5344,15208,-904,-70,203,-86
76854,-5372,15272,-808,-84,73,-78
76906,-5288,15176,-860,-71,137,-92
76958,-5292,15240,-876,-93,72,-105
77011,-5368,15288,-884,-56,169,-68
77063,-5288,15292,-704,-92,70,-80
77116,-5340,15392,-792,-59,194,-91
77168,-5388,15196,-892,-79,65,-97
77221,-5216,15316,-856,-80,192,-78
77273,-5160,15320,-852,-71,53,-81
77326,-5288,15240,-808,-73,197,-85
77378,-5356,15228,-860,-97,61,-92
77431,-5356,15248,-848,-42,174,-62
77483,-5304,15320,-892,-88,84,-84
77536,-5472,15220,-712,-59,168,-76
77588,-5336,15192,-628,-79,65,-90
77641,-5320,15192,-856,-74,174,-97
77693,-5444,15284,-784,-86,74,-74
77746,-5320,15324,-844,-89,207,-66
77798,-5376,15312,-780,-57,74,-76
77851,-5344,15280,-644,-96,191,-84
77903,-5292,15276,-792,-101,67,-74
77956,-5332,15308,-804,-77,188,-104
78008,-5352,15192,-920,-79,65,-96
78061,-5256,15280,-660,-65,198,-59
78114,-5348,15176,-636,-91,51,-86
78166,-5352,15292,-656,-51,162,-59
78218,-5276,15276,-740,-116,164,-80
78271,-5380,15240,-880,-74,92,-76
78323,-5400,15268,-968,-79,198,-89
78376,-5364,15256,-816,-105,78,-74
78428,-5360,15276,-844,-69,176,-69
78481,-5332,15212,-756,-104,104,-90
78533,-5336,15268,-856,-79,100,-76
