Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
486461311,-2888,-248,15804,-99,67,-60
486464646,-2716,-232,15928,-89,166,-70
486468116,-2736,-292,15984,-102,59,-37
486471586,-2880,-252,15928,-65,165,-57
486475056,-2868,-212,15976,-100,43,-78
486478526,-2880,-272,16056,-76,81,-28
486481909,-2864,-252,15980,-108,99,-71
486485402,-2740,-244,16096,-85,55,-53
486488762,-2804,-248,16112,-119,155,-47
486492324,-2764,-180,15992,-100,42,-58
486495824,-2792,-264,16008,-64,143,-41
486499259,-2812,-264,16080,-129,91,-81
486502729,-2808,-172,15984,-61,110,-46
486506199,-2776,-84,15976,-125,141,-49
486509672,-2768,-212,15860,-51,80,-32
486513077,-2748,-244,15940,-120,158,-65
486516609,-2768,-324,15936,-99,51,-60
486519992,-2828,-244,16104,-74,157,-23
486523462,-2844,-216,15988,-111,77,-70
486526932,-2796,-192,15988,-65,143,-48
486530402,-2820,-128,16036,-132,124,-52
486533959,-2724,-152,15912,-80,83,-62
486537367,-2836,-164,16088,-95,196,-83
486540812,-2728,-240,15960,-92,62,-46
486544196,-2780,-312,16036,-48,162,-69
486547666,-2768,-216,16020,-105,24,-49
486551136,-2812,-204,16132,-72,89,-50
486554519,-2752,-200,15948,-113,137,-74
486558076,-2720,-224,15968,-103,38,-115
486561693,-2696,-220,15916,-98,193,-48
486565102,-2756,-232,15952,-124,71,-64
486568572,-2884,-248,16064,-56,159,-65
486572042,-2780,-176,16068,-127,106,-55
486575599,-2812,-156,16048,-59,79,-80
486578982,-2868,-300,15932,-109,185,-53
486582539,-2768,-212,16116,-96,79,-52
486585946,-2744,-164,16020,-64,164,-46
486589392,-2792,-220,16008,-107,66,-61
486592862,-2744,-272,15884,-59,119,-54
486596367,-2748,-176,16036,-102,68,-82
486599802,-2764,-148,15976,-75,61,-75
486603185,-2920,-272,15972,-89,161,-54
486606656,-2692,-208,15980,-71,36,-59
486610063,-2792,-232,16000,-66,167,-74
486613509,-2772,-288,15956,-90,64,-44
486616892,-2752,-200,15972,-61,138,-64
486620362,-2816,-204,15988,-118,94,-38
486623832,-2764,-328,16096,-76,92,-29
486627215,-2812,-200,16036,-96,147,-77
486630685,-2824,-164,15848,-94,45,-56
486634069,-2916,-272,15996,-77,174,-32
486637563,-2800,-192,15948,-84,25,-59
486640922,-2812,-132,15904,-85,150,-74
486644392,-2776,-168,16136,-115,76,-94
486647862,-2776,-156,16004,-43,71,-33
486651245,-2828,-220,16008,-123,126,-75
486654802,-2844,-204,16076,-106,49,-73
486658272,-2824,-304,15896,-85,177,-41
486661790,-2788,-224,15960,-111,64,-68
486665212,-2832,-228,16028,-58,138,-43
486668682,-2828,-192,16048,-91,125,-73
486672152,-2856,-124,15876,-99,85,-58
486675535,-2824,-196,15988,-113,178,-42
486679092,-2772,-144,15868,-75,46,-73
486682475,-2884,-248,15816,-60,145,-56
486685968,-2912,-204,15972,-93,71,-96
486689328,-2852,-184,16048,-60,170,-41
486692798,-2788,-172,16028,-95,101,-91
486696272,-2876,-136,15884,-74,121,-54
486699773,-2756,-220,16052,-106,152,-80
486703295,-2828,-228,16044,-99,51,-47
486706678,-2824,-232,16028,-60,181,-79
486710173,-2800,-260,15988,-98,65,-71
486713531,-2928,-240,15852,-72,143,-60
486717001,-2848,-272,16116,-99,74,-56
486720385,-2872,-200,16008,-64,87,-69
486723768,-2848,-264,16048,-110,153,-46
486727325,-2820,-212,16064,-102,48,-85
486730795,-2804,-276,16060,-103,193,-49
486734352,-2812,-208,16004,-100,55,-62
486737846,-2792,-200,15908,-67,135,-48
486741291,-2764,-352,16052,-77,144,-108
486744848,-2668,-76,15936,-54,74,-34
486748145,-2924,-228,15968,-122,142,-111
486751788,-2956,-136,15924,-63,58,-79
486755172,-2784,-192,15824,-77,166,-65
486758642,-2768,-172,15952,-70,45,-59
486762073,-2832,-212,15920,-76,163,-69
486765495,-2872,-216,15948,-108,99,-26
486768965,-2924,-216,16152,-94,135,-88
486772435,-2784,-288,15952,-95,133,-48
486775905,-2736,-252,15948,-97,88,-102
486779375,-2796,-236,15864,-51,155,-36
486782845,-2644,-240,16032,-121,79,-104
486786425,-2792,-136,15876,-88,78,26
486789698,-2964,-188,16068,-118,124,-158
486793342,-2752,-232,16000,-37,66,-50
486796725,-2728,-432,16084,-157,181,-102
486800403,-2608,-296,16004,-90,20,8
486803578,-2788,-172,15880,-123,204,-95
486807135,-2872,-108,15892,-119,36,-35
486810629,-2924,-100,15816,-52,162,-82
486814075,-2828,-240,16052,-102,121,-69
486817631,-2756,-168,15916,-74,97,-79
486821015,-2820,-296,16240,-59,159,-41
486824485,-2720,-272,15912,-82,50,-72
486827868,-2932,-204,16072,-63,137,-45
486831338,-2732,-324,15896,-106,57,-69
486834811,-2896,-216,16076,-65,92,-47
486838216,-2808,-184,15772,-105,83,-80
486841661,-2724,-164,16072,-80,128,-69
486845131,-2828,-128,15840,-126,126,-35
486848688,-2804,-204,16036,-103,101,-97
486852245,-2752,-220,15732,-81,124,-17
486855715,-2796,-224,15936,-113,89,-101
486859271,-2864,-156,15860,-32,101,-7
486862703,-2840,-216,16012,-148,123,-95
486866212,-2748,-268,15884,-65,67,-18
486869595,-2844,-232,16108,-151,195,-124
486873238,-2664,-152,15944,-70,39,-28
486876622,-2812,-192,15956,-82,148,-55
486880091,-2808,-216,16032,-59,55,-53
486883475,-2744,-212,15992,-71,150,-75
486886968,-2876,-232,16072,-128,111,-45
486890501,-2808,-252,15916,-94,106,-65
486893972,-2820,-248,15960,-100,165,-48
486897528,-2904,-308,15972,-100,74,-79
486901033,-2716,-248,15968,-69,164,-39
486904468,-2764,-220,16132,-85,62,-42
486907852,-2792,-304,15980,-41,106,-46
486911346,-2756,-240,15952,-119,117,-74
486914878,-2820,-264,15860,-86,43,-68
486918262,-2748,-268,16052,-107,188,-60
486921818,-2740,-172,16008,-109,49,-82
486925288,-2792,-348,15880,-85,180,-64
486928758,-2848,-252,15964,-135,90,-79
486932228,-2784,-256,15892,-73,152,-48
486935723,-2868,-240,16024,-120,143,-64
486939255,-2900,-324,15936,-68,98,-62
486942638,-2832,-228,16104,-99,187,-58
486946108,-2856,-272,16044,-86,44,-95
486949492,-2832,-236,15960,-58,134,-36
486952962,-2760,-240,15976,-110,65,-37
486956432,-2840,-188,16168,-80,93,-54
486959818,-2784,-192,16112,-138,116,-80
486963421,-2868,-116,15952,-87,38,-64
486966755,-2860,-140,16092,-107,182,-70
486970311,-2808,-312,15960,-102,69,-53
486973782,-2672,-236,16140,-91,156,-51
486977251,-2848,-216,16040,-117,86,-52
486980722,-2848,-172,15836,-76,136,-59
486984191,-2912,-184,15968,-84,180,-57
486987685,-2912,-240,15996,-93,54,-51
486991045,-2776,-228,16084,-105,157,-63
486994602,-2812,-236,15936,-106,54,-83
486998072,-2756,-244,15948,-60,202,-42
487001577,-2820,-248,15884,-106,43,-51
487005011,-2828,-268,16000,-68,139,-65
487008481,-2852,-212,15912,-115,150,-72
487012063,-2840,-112,15848,-79,65,-54
487015421,-2716,-180,15816,-91,176,-82
487018892,-2836,-204,15828,-83,36,-33
487022275,-2908,-240,15960,-59,160,-51
487025745,-2852,-292,15976,-93,67,-67
487029128,-2920,-244,15824,-62,116,-64
487032598,-2748,-180,15844,-118,98,-111
487036179,-2824,-268,15912,-90,32,-43
487039538,-2836,-188,15952,-138,161,-98
487043095,-2836,-144,15968,-118,40,-68
487046565,-2696,-112,16092,-58,181,-63
487050035,-2852,-276,15960,-105,78,-70
487053505,-2840,-144,15992,-81,130,-43
487056975,-2780,-284,15932,-85,157,-80
487060547,-2836,-244,16128,-81,87,-61
487063828,-2776,-132,15876,-127,126,-65
487067385,-2824,-168,16036,-95,44,-76
487070768,-2868,-328,15804,-102,171,-42
487074325,-2836,-204,16080,-96,25,-62
487077708,-2924,-112,15936,-57,155,-47
487081178,-2660,-244,16036,-127,101,-73
487084738,-2864,-328,15948,-84,131,-44
487088228,-2848,-212,15888,-109,142,-79
487091762,-2844,-252,15844,-111,69,-73
487095231,-2812,-172,15828,-53,168,-55
487098702,-2820,-264,16060,-104,46,-67
487102210,-2744,-208,16000,-74,121,-71
487105642,-2760,-224,15916,-124,61,-47
487109111,-2824,-192,16056,-97,66,-71
487112519,-2780,-212,15992,-116,131,-56
487116052,-2900,-164,15852,-79,55,-73
487119435,-2748,-220,15980,-73,169,-69
487122905,-2736,-100,15996,-106,48,-77
487126375,-2876,-136,16048,-66,154,-53
487129845,-2856,-284,15936,-115,100,-66
487133402,-2856,-276,16128,-56,97,-44
487136809,-2860,-220,16064,-106,170,-77
487140341,-2740,-140,15868,-78,66,-80
487143725,-2736,-140,16072,-81,156,-90
487147195,-2768,-212,15908,-111,51,-71
487150665,-2860,-228,15964,-74,104,-43
487154135,-2812,-244,16012,-93,98,-68
487157518,-2944,-120,16012,-88,79,-85
487160950,-2776,-184,15992,-119,162,-53
487164458,-2824,-176,16072,-64,94,-77
487167841,-2832,-212,15932,-81,187,-63
487171311,-2952,-120,16012,-105,73,-73
487174781,-2836,-232,15968,-47,137,-44
487178251,-2800,-136,15964,-84,51,-78
487181635,-2880,-196,15980,-81,108,-60
487185128,-2816,-212,15932,-138,111,-59
487188661,-2892,-204,15808,-95,73,-51
487192044,-2828,-232,16024,-99,169,-65
487195514,-2828,-228,16072,-107,44,-66
487198985,-2824,-148,15944,-67,178,-60
487202489,-2820,-252,15896,-104,89,-45
487205925,-2764,-244,16012,-66,135,-69
487209394,-2792,-204,15832,-107,161,-55
487212976,-2808,-124,16044,-86,80,-49
487216334,-2844,-192,16020,-56,177,-45
487219804,-2852,-204,15964,-89,54,-57
487223188,-2848,-192,15812,-75,178,-39
487226658,-2780,-288,16048,-107,99,-63
487230128,-2804,-180,16004,-53,121,-47
487233598,-2792,-256,15972,-106,129,-56
487237179,-2836,-152,16036,-70,41,-74
487240538,-2748,-168,15840,-80,160,-76
487244008,-2828,-168,15880,-96,39,-71
487247391,-2852,-212,15972,-54,155,-62
487250861,-2872,-276,16048,-101,74,-58
487254331,-2820,-256,15968,-80,94,-68
487257714,-2932,-220,15808,-104,126,-72
