Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
388155208,-2772,-272,15968,-95,48,-69
388158591,-2780,-264,15836,-63,161,-49
388162061,-2880,-204,15972,-100,47,-68
388165531,-2976,-152,16076,-58,128,-56
388169050,-2784,-216,15924,-122,101,-38
388172558,-2988,-100,15952,-96,56,21
388175855,-2792,-104,15916,-111,179,-142
388179498,-2748,-180,16020,-34,68,-86
388182881,-2752,-292,16064,-116,167,-49
388186438,-2860,-284,16148,-95,35,-26
388189821,-2852,-196,15924,-85,119,-63
388193315,-2948,-216,15976,-88,166,-26
388196762,-2716,-248,16044,-79,59,-104
388200231,-2872,-284,15972,-50,140,-30
388203736,-2824,-232,16144,-118,62,-103
388207258,-2832,-264,16024,-66,61,-17
388210641,-2728,-268,15956,-136,150,-76
388214198,-2804,-204,15884,-88,69,-63
388217606,-2748,-180,15916,-90,179,-87
388221052,-2852,-260,16132,-105,45,-45
388224521,-2700,-244,15964,-73,183,-77
388227992,-2944,-252,16004,-100,85,-56
388231461,-2788,-244,16036,-63,119,-66
388234932,-2848,-172,15928,-100,149,-32
388238488,-2716,-152,15908,-100,59,-35
388241983,-2844,-176,15980,-59,164,-47
388245428,-2780,-212,16000,-116,40,-84
388248898,-2780,-128,15884,-44,142,-84
388252368,-2812,-172,15948,-125,62,-77
388255838,-2836,-280,15844,-56,95,-55
388259222,-2788,-232,15972,-116,170,-79
388262778,-2788,-204,16072,-81,64,-55
388266165,-2832,-192,15848,-80,171,-46
388269680,-2780,-280,16028,-93,55,-41
388273015,-2672,-244,16064,-43,130,-47
388276485,-2836,-228,15904,-115,95,-64
388279955,-2928,-172,15964,-84,64,-69
388283338,-2864,-304,16008,-110,131,-90
388286895,-2844,-320,15908,-73,67,-61
388290278,-2736,-180,16100,-92,185,-76
388293771,-2780,-288,15964,-82,40,-35
388297131,-2752,-300,15892,-82,126,-71
388300601,-2884,-212,16040,-130,124,-70
388304193,-2832,-176,16024,-70,125,-47
388307628,-2792,-220,16028,-111,180,-53
388311185,-2856,-256,15964,-60,48,-78
388314568,-2784,-192,16000,-77,199,-42
388318063,-2760,-236,15880,-83,49,-64
388321421,-2868,-216,16012,-93,206,-73
388324891,-2796,-288,16056,-94,78,-60
388328274,-2784,-184,16044,-69,175,-65
388331744,-2804,-224,15824,-111,137,-69
388335301,-2828,-160,15928,-49,93,-77
388338685,-2788,-204,15968,-80,207,-39
388342179,-2848,-272,15748,-91,57,-65
388345538,-2816,-148,15952,-75,143,-68
388349008,-2780,-244,15960,-122,85,-67
388352478,-2788,-176,16096,-78,84,-38
388355861,-2828,-140,16016,-124,153,-73
388359418,-2916,-176,15884,-65,42,-86
388362801,-2772,-264,16016,-90,225,-41
388366319,-2880,-248,16052,-88,47,-74
388369654,-2728,-116,16000,-51,132,-59
388373124,-2752,-104,15972,-89,108,-58
388376594,-2724,-248,15964,-84,99,-75
388379978,-2812,-288,16156,-98,164,-59
388383447,-2864,-120,16064,-108,96,-61
388386918,-2664,-252,15980,-80,178,-41
388390388,-2916,-240,15936,-138,118,-80
388393967,-2752,-296,15980,-61,89,-73
388397328,-2848,-240,15968,-68,198,-86
388400798,-2772,-228,16004,-94,62,-64
388404219,-2868,-176,16068,-68,159,-39
388407651,-3008,-20,15860,-80,66,-63
388410947,-2752,-284,16016,-59,187,-83
388414417,-2768,-216,16008,-101,112,-45
