Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
22983339,-2748,-232,15952,-118,108,-63
22986809,-2836,-200,16056,-70,123,-87
22990216,-2752,-148,15904,-126,91,-50
22993575,-2780,-200,16008,-67,76,-49
22996872,-2752,-252,16008,-122,155,-52
23000342,-2836,-192,15892,-102,41,-60
23003725,-2804,-168,15992,-76,188,-66
23007108,-2792,-136,16040,-84,70,-60
23010405,-2772,-228,15896,-77,174,-65
23013788,-2836,-152,15988,-79,55,-56
23017109,-2704,-252,15972,-56,164,-77
23020468,-2800,-168,16092,-119,54,-88
23023851,-2812,-220,15952,-56,157,-37
23027234,-2760,-200,16072,-114,111,-69
23030704,-2752,-252,15988,-74,108,-53
23034087,-2780,-204,15884,-129,163,-76
23037557,-2728,-212,15976,-73,57,-54
23040877,-2868,-272,16072,-101,165,-81
23044324,-2816,-148,16076,-103,60,-47
23047707,-2728,-228,16108,-95,160,-50
23051090,-2760,-212,15976,-90,55,-73
23054422,-2868,-120,15928,-67,177,-57
23057770,-2848,-260,15968,-95,59,-81
23061067,-2848,-160,16032,-54,111,-56
23064453,-2744,-204,15880,-119,95,-71
23067936,-2768,-188,15912,-87,66,-63
23071130,-2856,-208,15832,-112,120,-74
23074600,-2792,-276,15996,-94,90,-33
23077896,-2816,-268,15900,-99,181,-55
23081280,-2636,-204,15984,-77,79,-86
23084576,-2812,-228,15972,-108,175,-74
23088046,-2784,-180,15996,-107,70,-80
23091454,-2832,-240,16100,-71,177,-69
23094813,-2712,-180,16012,-114,71,-70
23098196,-2760,-272,15920,-54,140,-55
23101579,-2764,-256,15888,-105,75,-34
23104962,-2776,-260,15892,-75,106,-91
23108345,-2780,-148,15972,-113,101,-69
23111816,-2860,-184,16028,-75,76,-103
23115223,-2812,-188,15896,-120,170,-52
23118669,-2760,-204,15952,-92,57,-76
23121965,-2760,-228,16032,-82,192,-46
23125349,-2808,-220,15772,-83,59,-68
23128645,-2676,-220,16048,-57,146,-63
23132028,-2768,-188,16008,-98,62,-91
23135325,-2948,-216,15908,-72,157,-44
23138708,-2780,-192,15880,-132,103,-69
23142201,-2728,-172,16024,-59,113,-70
23145561,-2836,-200,15968,-119,161,-77
23149031,-2764,-212,16048,-72,66,-49
23152328,-2860,-228,15968,-92,140,-81
23155750,-2652,-244,15884,-89,55,-48
23159007,-2832,-196,15916,-103,194,-55
23162478,-2740,-264,16028,-76,54,-49
23165822,-2832,-220,16000,-81,171,-78
23169157,-2792,-204,15844,-95,62,-54
23172454,-2776,-204,15984,-58,120,-80
23175837,-2844,-260,15872,-103,79,-63
23179220,-2776,-240,15980,-62,123,-78
23182603,-2836,-184,16116,-115,187,-82
23186074,-2864,-168,15916,-92,73,-56
23189373,-2788,-224,15924,-91,177,-56
23192778,-2880,-300,15968,-92,70,-50
23196050,-2768,-204,16044,-93,186,-56
23199433,-2840,-240,15908,-94,46,-83
23202729,-2816,-288,15932,-68,184,-46
23206113,-2776,-200,16132,-79,42,-79
23209409,-2856,-208,15852,-65,116,-43
23212793,-2820,-148,16128,-102,85,-49
23216200,-2744,-100,15980,-79,65,-48
23219472,-2784,-176,16056,-139,190,-82
23222942,-2776,-232,16040,-94,74,-52
23226239,-2804,-292,16012,-75,175,-67
23229622,-2772,-268,16056,-90,61,-78
23232918,-2764,-208,15900,-95,198,-50
23236302,-2800,-220,15980,-115,72,-71
23239708,-2744,-264,16056,-58,142,-44
23243068,-2812,-236,16012,-133,91,-80
23246452,-2796,-272,15984,-81,131,-43
23249835,-2872,-148,15872,-117,100,-64
23253305,-2776,-220,15924,-90,64,-58
23256636,-2740,-108,15964,-129,174,-72
23260071,-2840,-256,16072,-87,84,-61
23263368,-2872,-176,15920,-53,170,-67
23266799,-2796,-236,15972,-111,64,-67
23270134,-2824,-248,15844,-75,117,-49
23273518,-2744,-200,15844,-101,90,-94
23276901,-2756,-172,15992,-88,75,-44
23280197,-2700,-204,15980,-104,147,-72
23283667,-2748,-212,16020,-89,77,-39
23286964,-2844,-328,15960,-82,174,-46
23290371,-2764,-232,16144,-76,49,-63
23293643,-2888,-132,16120,-108,192,-70
23297114,-2728,-172,16068,-91,55,-65
23300410,-2784,-180,15992,-81,197,-73
23303793,-2748,-188,16008,-107,66,-61
23307176,-2776,-188,16156,-69,145,-44
23310560,-2812,-180,15932,-81,64,-100
23313943,-2708,-268,15972,-74,85,-87
23317264,-2800,-184,15856,-121,128,-59
23320709,-2760,-220,15944,-79,90,-54
23324006,-2840,-200,15968,-116,154,-97
23327476,-2704,-168,15884,-71,66,-42
23330772,-2704,-276,16072,-81,164,-64
23334156,-2900,-244,16040,-107,28,-81
23337539,-2800,-184,16108,-80,189,-46
23340945,-2908,-244,16000,-94,68,-64
23344219,-2800,-140,16088,-47,161,-69
23347602,-2800,-248,16028,-127,137,-59
23351072,-2872,-208,15876,-65,110,-62
23354455,-2700,-188,15952,-132,105,-75
23357960,-2844,-236,16048,-92,56,-35
23361222,-2712,-176,16068,-107,153,-47
23364740,-2748,-108,15868,-73,50,-59
23367988,-2892,-272,16060,-119,164,-58
23371458,-2752,-128,15940,-93,64,-58
23374755,-2736,-204,15888,-60,155,-54
23378138,-2956,-296,15892,-104,77,-88
23381521,-2728,-232,15892,-78,106,-48
23384905,-2760,-224,15884,-134,123,-55
23388374,-2720,-208,16100,-81,45,-83
23391695,-2788,-184,15908,-120,163,-61
23395141,-2732,-220,15992,-98,83,-48
23398438,-2748,-148,15840,-104,188,-52
23401907,-2728,-136,16016,-94,56,-58
23405204,-2680,-212,15872,-121,194,-51
23408674,-2764,-164,15936,-105,49,-60
23412057,-2752,-184,15940,-71,185,-39
23415465,-2748,-160,16112,-132,86,-64
23418824,-2924,-172,15800,-47,128,-36
23422207,-2780,-120,15976,-134,134,-98
23425677,-2836,-228,15972,-75,93,-62
23428974,-2740,-252,15908,-128,141,-93
23432444,-2724,-284,15928,-97,54,-42
23435740,-2780,-160,15980,-101,191,-100
