Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
574685839,-2888,-164,16036,-64,84,-76
574689222,-2792,-160,16120,-60,118,-35
574692692,-2728,-136,15996,-110,84,-57
574696162,-2868,-196,15960,-80,102,-36
574699632,-2988,-252,15964,-104,140,-56
574703189,-2792,-192,16080,-92,51,-79
574706597,-2724,-204,16072,-74,174,-50
574710042,-2840,-256,15908,-122,78,-76
574713512,-2816,-288,16032,-68,129,-55
574716982,-2848,-256,16036,-112,154,-64
574720539,-2888,-156,15964,-64,68,-65
574723922,-2872,-248,15928,-75,157,-78
574727392,-2880,-332,15968,-87,53,-72
574730800,-2872,-232,16068,-83,129,-68
574734246,-2816,-292,15916,-109,80,-69
574737715,-2736,-220,15992,-54,137,-25
574741186,-2872,-200,15936,-121,127,-66
574744742,-2856,-160,16004,-78,65,-42
574748125,-2848,-144,15900,-97,171,-50
574751595,-2804,-288,16000,-88,64,-61
574755026,-2748,-188,16048,-90,192,-67
574758449,-2732,-264,15932,-91,53,-76
574761832,-2844,-232,15984,-78,96,-50
574765215,-2872,-184,15984,-123,113,-91
574768772,-2836,-100,16112,-101,66,-70
574772242,-2868,-288,15948,-96,165,-67
574775747,-2792,-276,16016,-88,31,-59
574779099,-2848,-128,15860,-70,171,-43
574782590,-2960,-220,16092,-104,83,-94
574786035,-2800,-120,15852,-60,119,-52
574789505,-2892,-232,16000,-119,118,-94
574793062,-2780,-268,16088,-72,86,-53
574796445,-2844,-196,15916,-104,123,-84
574800002,-2784,-188,16080,-106,45,-61
574803472,-2860,-192,16032,-34,133,-44
574806967,-2844,-212,15956,-103,71,-86
574810412,-2692,-216,16076,-52,151,-50
574813882,-2820,-220,16012,-112,138,-70
574817439,-2792,-156,15940,-106,55,-63
574820909,-2868,-212,15916,-93,172,-62
574824379,-2792,-280,16020,-82,59,-84
574827762,-2904,-316,16088,-78,169,-61
574831257,-2784,-248,16164,-97,55,-53
574834615,-2688,-228,16004,-58,105,-53
574838085,-2700,-164,16108,-127,76,-63
574841555,-2944,-336,16032,-106,62,-65
574845025,-2868,-88,16016,-113,125,-35
574848495,-2920,-192,15884,-99,61,-70
574851878,-2912,-160,15840,-59,172,-57
574855395,-2744,-260,15980,-101,108,-81
574858905,-2804,-176,15952,-53,117,-59
574862375,-2768,-280,16076,-112,137,-72
574865932,-2804,-260,15916,-67,75,-32
574869315,-2776,-288,15964,-92,185,-59
574872785,-2884,-212,15948,-82,62,-59
574876203,-2836,-272,15912,-53,173,-43
574879663,-2812,-164,16060,-101,61,-99
574883109,-2688,-180,15856,-57,142,-67
574886579,-2772,-200,16008,-98,109,-74
574890048,-2804,-192,16060,-48,114,-46
574893519,-2840,-144,15916,-110,175,-70
574897075,-2784,-200,16072,-95,46,-78
574900459,-2756,-200,16032,-59,165,-56
574903932,-2784,-188,16016,-82,23,-53
574907336,-2736,-232,16020,-71,137,-66
574910782,-2824,-264,16136,-123,56,-27
574914252,-2696,-204,15892,-78,91,-64
574917635,-2788,-312,16132,-109,125,-67
574921192,-2768,-204,15980,-116,66,-92
574924662,-2700,-196,15780,-85,172,-60
574928132,-2744,-244,15924,-108,74,-66
574931626,-2700,-264,16040,-46,158,-50
574935072,-2904,-148,16016,-107,135,-71
574938628,-2900,-188,15988,-81,76,-61
574942012,-2868,-92,15884,-106,157,-59
574945482,-2808,-60,15856,-92,46,-33
574948778,-2860,-188,15884,-52,200,-75
574952248,-2832,-232,15892,-99,63,-44
574955680,-2824,-272,16020,-86,141,-76
574959101,-2876,-244,16068,-70,128,-37
574962572,-2772,-316,15852,-87,92,-72
574965955,-2960,-108,16052,-72,157,-15
574969425,-2744,-168,15840,-84,79,-85
574972808,-2956,-124,16116,-61,100,-11
574976313,-2804,-192,15844,-104,97,-103
574979859,-2836,-312,15996,-66,66,-28
574983218,-2764,-176,16024,-111,126,-88
574986775,-2868,-188,16108,-97,47,-20
574990158,-2788,-216,15956,-118,183,-64
574993715,-2900,-168,15960,-74,60,-81
574997098,-2816,-156,15968,-67,152,-49
575000568,-2924,-220,16016,-95,72,-79
575003955,-2816,-172,15824,-68,110,-73
575007446,-2916,-204,16044,-107,102,-93
575010978,-2816,-204,15788,-92,51,-37
575014361,-2888,-156,15848,-124,161,-75
575017918,-2820,-240,15928,-87,67,-52
575021301,-2812,-204,16112,-76,171,-71
575024771,-2772,-268,15864,-86,85,-44
575028154,-2820,-356,16064,-72,143,-51
575031649,-2700,-124,16052,-124,113,-20
575035181,-2912,-148,16008,-71,106,-92
575038651,-2812,-188,15796,-71,192,-59
575042121,-2796,-232,16208,-101,56,-58
575045591,-2904,-216,15976,-56,130,-85
575049061,-2796,-224,16068,-129,72,-67
575052531,-2804,-264,16084,-105,76,-60
575056102,-2856,-236,15960,-101,171,-57
575059558,-2796,-288,15976,-117,39,-41
575063028,-2776,-276,16020,-71,172,-47
575066498,-2836,-244,16012,-105,75,-51
575069968,-2760,-264,15996,-54,114,-59
575073438,-2816,-224,16100,-105,165,-71
575077034,-2840,-172,15904,-92,70,-74
575080403,-2780,-252,15992,-73,186,-65
575083848,-2760,-336,16092,-98,68,-40
575087231,-2752,-212,15964,-57,152,-53
575090701,-2752,-220,15968,-128,61,-55
575094171,-2920,-188,15916,-51,129,-42
575097641,-2828,-208,16000,-121,140,-81
575101198,-2832,-172,16132,-51,78,-47
575104606,-2772,-168,16000,-71,187,-68
